zip,region,dog_patients,dog_enet_predictions,total_popE,median_incomeE,median_ageE,median_rentE,pct_seniors_65p,pct_poverty,pct_bach_plus,pct_renter,pct_white,pct_hispanic,pct_non_english,pct_unemployed
75001,DFW,20,38.96616947300446,16633,77598,33.8,1620,0.09138459688570913,0.08461909353905496,0.5592464436755095,0.8451095670764297,0.5557025190885589,0.27192929718030423,0.2932628797886394,0.032819166393173616
75002,DFW,26,96.51861785903994,72679,119301,38.8,1827,0.1085595564055642,0.05380657297775811,0.5019171861277124,0.20900972240552548,0.6289849887863069,0.1292257736072318,0.224300154388418,0.0458516439879282
75006,DFW,72,103.51939970598573,48062,79672,36.2,1453,0.13771794765095086,0.07917575046117727,0.324713514824471,0.4827754042507166,0.6497440805626067,0.4827098331322042,0.5020825948245303,0.03721044849679645
75007,DFW,35,76.24059681726045,54498,105969,40.6,1479,0.13543616279496495,0.0760514233241506,0.41652293463317086,0.3154685176003966,0.5563139931740614,0.27509266395097065,0.3479207240233704,0.036046994600367886
75009,DFW,24,15.328676775981933,28109,153658,37.1,1806,0.13301789462449748,0.053329047006715244,0.4864131938679506,0.09580345597743035,0.747518588352485,0.16617453484649045,0.16634355874862206,0.049350465970064955
75010,DFW,31,27.284034533716387,31609,98567,38.1,1685,0.10231263247809168,0.05724087544868333,0.5094947735191637,0.5119689283449588,0.473377835426619,0.14786927773735328,0.343441466854725,0.04127299850820487
75013,DFW,11,18.31959105218256,46649,149549,38.6,1681,0.09983065017470899,0.03743683474895172,0.5997813364203486,0.34808597995411183,0.550579862376471,0.0916632725245986,0.3465619124362074,0.03417145415205551
75019,DFW,36,32.121744093841386,44706,136679,38.9,1698,0.0945734353330649,0.0280472232800914,0.6717333333333333,0.3465697571352597,0.5423433096228694,0.13995884221357313,0.39493797471368364,0.018155381773882973
75020,DFW,5,8.583403418915386,24486,64734,40.2,1055,0.1923956546598056,0.16359773371104816,0.19432728161868085,0.39099800189294354,0.8176100628930818,0.10695907865719187,0.058457220541156873,0.05537844976773841
75021,DFW,0,3.0778855445922613,8925,61198,43.4,758,0.2038095238095238,0.145415634151836,0.16136724960254373,0.18766676549066114,0.8875070028011205,0.09837535014005602,0.07771260997067453,0.03968631178707224
75022,DFW,5,11.085188738260122,27000,179892,41.5,1918,0.10151851851851852,0.0557333134905871,0.6520990064894044,0.14774615129028684,0.7138888888888889,0.13548148148148148,0.24137255670022328,0.03185422172763945
75023,DFW,32,53.44967184302987,49376,101246,38.6,1789,0.1509437783538561,0.07450246986359849,0.5156811452554115,0.37456540634506735,0.6464679196370706,0.15596646143875567,0.27275847275847276,0.04226624956551964
75024,DFW,25,26.564452616325493,43520,114623,36.8,1748,0.08802849264705882,0.04312171749746614,0.6635099141757916,0.6136756907619313,0.4397288602941177,0.07706801470588236,0.41668280871670704,0.046150278293135436
75025,DFW,28,37.332967885760894,54201,134740,40.2,1856,0.10608660356819985,0.048906523945741444,0.6227697066784511,0.3327925589444084,0.4514123355657645,0.09914946218704453,0.42205160183958224,0.05645675902602855
75028,DFW,15,33.36946812362296,47751,143712,43.1,2081,0.12353667986010765,0.03338299166998888,0.6066174226237715,0.1884049643760055,0.7445707943289146,0.10634332265292873,0.16641121086052113,0.0414327917282127
75032,DFW,129,22.58110878726414,36514,132756,39,1871,0.12047433860984828,0.019197881613063385,0.45610848259547143,0.19042579174468777,0.7769896478063208,0.1692501506271567,0.15160001166827108,0.028412343237758236
75033,DFW,30,31.660167144999207,47416,165218,36.6,1942,0.06613801248523705,0.018259411027834987,0.6253849148762963,0.2681824225501928,0.6311793487430403,0.13740087734098194,0.19922496248012012,0.04604739939557818
75034,DFW,38,53.622864970008465,48749,104323,35.4,1613,0.09282241687008964,0.04741645085707239,0.6319942179124255,0.5911379657603223,0.5968942952675952,0.14589017210609448,0.26295114699307676,0.030278120290450745
75035,DFW,23,133.50870889213869,83930,154811,37.8,2064,0.07995949005123316,0.030819625095638868,0.6467112365296112,0.24179049034175334,0.4445013701894436,0.12539020612415108,0.3995333324879212,0.04170154645988457
75038,DFW,61,29.225839345527156,32559,69678,32.2,1373,0.07623084247059185,0.11894327510647491,0.43563151012310053,0.7943277923592884,0.3024970054362849,0.17617248686998987,0.5072389712144438,0.03653797628059551
